Silabas,Palabras,Frases,PROPN,VERB,ADJ,Indice Flesch-Szigriszt,Escala Inflesz
3024,924,44,24,34,40,48.69,Dificil
3008,1473,73,134,136,96,59.43,Normal
1487,707,42,88,55,48,58.97,Normal
1266,576,33,84,43,52,52.45,Dificil
1222,576,42,43,46,49,60.95,Normal
2008,1006,61,54,96,82,65.99,Facil
1711,854,52,28,78,65,65.59,Facil
2622,1241,68,135,105,80,56.96,Normal
1439,686,48,144,42,40,61.86,Normal
1891,887,60,114,48,69,59.23,Normal
1463,661,39,81,73,41,52,Dificil
2553,1140,47,87,99,121,43.06,Dificil
1523,719,34,101,51,58,53.72,Dificil
2357,1157,85,56,115,85,66.31,Facil
1833,835,36,88,67,74,46.88,Dificil
2587,1247,58,107,135,101,55.59,Normal
2505,1180,47,102,84,92,49.47,Dificil
1578,685,56,21,67,82,51.09,Dificil
1404,674,42,48,79,48,61.01,Normal
1591,794,39,47,84,41,61.64,Normal
1794,906,27,80,82,48,49.92,Dificil
1354,670,27,33,60,55,56.12,Normal
1243,567,33,88,48,47,53.08,Dificil
935,472,21,9,40,38,60.95,Normal
1300,610,19,51,59,49,41.96,Dificil
1223,575,16,12,67,38,38.39,Dificil
1359,625,30,36,57,56,50.54,Dificil
1355,586,26,27,57,72,40.24,Dificil
1487,698,41,22,83,56,57.09,Normal
1395,641,55,37,83,45,59.6,Normal
1294,647,30,11,66,44,60.67,Normal
1411,675,46,55,78,47,61.93,Normal
2118,1063,76,18,118,76,68.72,Facil
1816,869,15,59,81,74,18.71,Dificil
1739,859,52,48,79,69,64.19,Normal
1423,695,43,65,65,37,63.11,Normal
791,382,26,15,53,22,63.14,Normal
1264,572,45,24,39,59,56.45,Normal
1021,442,29,4,38,57,47.68,Dificil
1088,540,27,60,57,30,61.31,Normal
1067,519,28,31,57,42,60.22,Normal
2132,999,45,94,72,66,51.68,Dificil
2007,948,44,70,91,63,53.39,Dificil
1564,825,67,28,81,66,76.42,Facil
1299,606,21,122,30,38,44.43,Dificil
1501,688,42,49,61,62,54.54,Dificil
1107,543,30,51,66,36,61.73,Normal
1661,756,33,29,73,59,47.05,Dificil
927,470,20,59,31,41,60.46,Normal
553,289,10,11,33,17,58.72,Normal
1060,538,30,47,52,33,66.15,Facil
986,480,32,26,35,36,63.86,Normal
1444,683,37,33,56,61,56.66,Normal
1332,632,39,19,69,51,59.33,Normal
1304,688,56,62,52,40,76.47,Facil
1802,839,44,33,93,76,53.96,Dificil
1326,642,26,19,73,49,53.47,Dificil
1346,632,27,15,67,65,50.74,Dificil
