topico,news_date_reported,newspaper_name,conteo
0,2018-11-23,Queretaro,8
0,2018-11-23,Xalapa,7
0,2018-11-23,Chihuahua,6
0,2018-11-23,Guadalajara,5
0,2018-11-23,Cordoba,6
0,2018-11-23,Cuautla,2
0,2018-11-23,Cuernavaca,3
0,2018-11-23,Pachuca,2
0,2018-11-23,Irapuato,5
0,2018-11-23,Guanajuato,4
0,2018-11-23,Aguascalientes,2
0,2018-11-23,Leon,3
0,2018-11-23,Orizaba,3
0,2018-11-23,Salamanca,2
0,2018-11-23,San Juan del Rio,3
0,2018-11-23,San Luis Potosi,3
0,2018-11-23,Tampico,3
0,2018-11-23,Tijuana,2
0,2018-11-23,Tlaxcala,4
0,2018-11-23,Toluca,2
0,2018-11-23,Tulancingo,2
0,2018-11-24,Queretaro,5
0,2018-11-24,Xalapa,9
0,2018-11-24,Chihuahua,6
0,2018-11-24,Guadalajara,1
0,2018-11-24,Cordoba,7
0,2018-11-24,Cuautla,3
0,2018-11-24,Cuernavaca,3
0,2018-11-24,Pachuca,8
0,2018-11-24,Irapuato,6
0,2018-11-24,Aguascalientes,5
0,2018-11-24,Leon,2
0,2018-11-24,Orizaba,5
0,2018-11-24,Salamanca,3
0,2018-11-24,San Juan del Rio,2
0,2018-11-24,San Luis Potosi,2
0,2018-11-24,Tampico,9
0,2018-11-24,Tijuana,3
0,2018-11-24,Tlaxcala,4
0,2018-11-24,Toluca,4
0,2018-11-24,Tulancingo,8
0,2018-11-24,Zacatecas,6
0,2018-11-24,Mexicali,4
0,2018-11-25,Queretaro,5
0,2018-11-25,Xalapa,6
0,2018-11-25,Chihuahua,3
0,2018-11-25,Guadalajara,2
0,2018-11-25,Cordoba,5
0,2018-11-25,Sonora,1
0,2018-11-25,Pachuca,6
0,2018-11-25,Irapuato,7
0,2018-11-25,Guanajuato,1
0,2018-11-25,Aguascalientes,5
0,2018-11-25,Leon,8
0,2018-11-25,Orizaba,2
0,2018-11-25,Salamanca,4
0,2018-11-25,San Juan del Rio,3
0,2018-11-25,San Luis Potosi,2
0,2018-11-25,Tampico,9
0,2018-11-25,Tijuana,3
0,2018-11-25,Tlaxcala,1
0,2018-11-25,Toluca,6
0,2018-11-25,Tulancingo,7
0,2018-11-25,Zacatecas,1
0,2018-11-26,Queretaro,6
0,2018-11-26,Xalapa,7
0,2018-11-26,Chihuahua,4
0,2018-11-26,Guadalajara,2
0,2018-11-26,Cordoba,5
0,2018-11-26,Cuautla,3
0,2018-11-26,Cuernavaca,3
0,2018-11-26,Pachuca,7
0,2018-11-26,Irapuato,4
0,2018-11-26,Guanajuato,4
0,2018-11-26,Aguascalientes,2
0,2018-11-26,Orizaba,2
0,2018-11-26,Salamanca,5
0,2018-11-26,San Juan del Rio,1
0,2018-11-26,Tampico,3
0,2018-11-26,Tijuana,4
0,2018-11-26,Tlaxcala,4
0,2018-11-26,Toluca,8
