topico,news_date_reported,newspaper_name,conteo
0,2018-11-23,Queretaro,6
0,2018-11-23,Xalapa,4
0,2018-11-23,Chihuahua,3
0,2018-11-23,Guadalajara,2
0,2018-11-23,Cordoba,2
0,2018-11-23,Pachuca,1
0,2018-11-23,Irapuato,5
0,2018-11-23,Aguascalientes,1
0,2018-11-23,Leon,4
0,2018-11-23,Orizaba,3
0,2018-11-23,Salamanca,4
0,2018-11-23,San Juan del Rio,2
0,2018-11-23,San Luis Potosi,6
0,2018-11-23,Tampico,2
0,2018-11-23,Tijuana,1
0,2018-11-23,Tlaxcala,1
0,2018-11-23,Toluca,2
0,2018-11-23,Tulancingo,1
0,2018-11-24,Queretaro,2
0,2018-11-24,Xalapa,6
0,2018-11-24,Chihuahua,2
0,2018-11-24,Guadalajara,1
0,2018-11-24,Cordoba,3
0,2018-11-24,Cuautla,2
0,2018-11-24,Pachuca,6
0,2018-11-24,Irapuato,4
0,2018-11-24,Aguascalientes,1
0,2018-11-24,Leon,2
0,2018-11-24,Orizaba,3
0,2018-11-24,San Juan del Rio,1
0,2018-11-24,Tampico,6
0,2018-11-24,Tijuana,3
0,2018-11-24,Tlaxcala,3
0,2018-11-24,Toluca,2
0,2018-11-24,Tulancingo,4
0,2018-11-24,Zacatecas,3
0,2018-11-24,Mexicali,4
0,2018-11-25,Queretaro,3
0,2018-11-25,Xalapa,4
0,2018-11-25,Chihuahua,1
0,2018-11-25,Guadalajara,2
0,2018-11-25,Cordoba,4
0,2018-11-25,Pachuca,3
0,2018-11-25,Irapuato,3
0,2018-11-25,Aguascalientes,2
0,2018-11-25,Leon,6
0,2018-11-25,Orizaba,2
0,2018-11-25,Salamanca,1
0,2018-11-25,San Juan del Rio,2
0,2018-11-25,San Luis Potosi,1
0,2018-11-25,Tampico,3
0,2018-11-25,Tlaxcala,2
0,2018-11-25,Toluca,3
0,2018-11-25,Tulancingo,4
0,2018-11-25,Zacatecas,1
0,2018-11-26,Queretaro,4
0,2018-11-26,Xalapa,1
0,2018-11-26,Chihuahua,1
0,2018-11-26,Cordoba,2
0,2018-11-26,Cuautla,1
0,2018-11-26,Cuernavaca,1
0,2018-11-26,Pachuca,3
0,2018-11-26,Irapuato,1
0,2018-11-26,Orizaba,1
0,2018-11-26,San Luis Potosi,1
0,2018-11-26,Tampico,1
0,2018-11-26,Tijuana,2
0,2018-11-26,Tlaxcala,2
0,2018-11-26,Toluca,2
0,2018-11-26,Tulancingo,5
0,2018-11-26,Zacatecas,1
1,2018-11-23,Cuautla,1
1,2018-11-24,Xalapa,2
1,2018-11-24,Cuernavaca,2
1,2018-11-24,Leon,1
1,2018-11-24,San Juan del Rio,1
1,2018-11-24,Tlaxcala,2
1,2018-11-24,Toluca,1
1,2018-11-25,Guanajuato,3
1,2018-11-25,Leon,1
1,2018-11-25,Tampico,2
1,2018-11-26,Queretaro,1
1,2018-11-26,Cuautla,2
1,2018-11-26,Cuernavaca,1
1,2018-11-26,Pachuca,1
1,2018-11-26,Leon,1
1,2018-11-26,San Juan del Rio,1
1,2018-11-26,Toluca,1
2,2018-11-23,Xalapa,1
2,2018-11-23,Chihuahua,1
2,2018-11-23,Irapuato,1
2,2018-11-23,Tijuana,2
2,2018-11-24,San Luis Potosi,1
2,2018-11-24,Tampico,1
2,2018-11-24,Tijuana,2
2,2018-11-24,Toluca,1
2,2018-11-24,Zacatecas,1
2,2018-11-25,San Luis Potosi,1
2,2018-11-26,Pachuca,1
2,2018-11-26,Tijuana,1
2,2018-11-26,Tulancingo,1
3,2018-11-23,Guadalajara,1
3,2018-11-23,Irapuato,1
3,2018-11-23,Guanajuato,1
3,2018-11-23,Salamanca,1
3,2018-11-24,Queretaro,1
3,2018-11-24,Salamanca,2
3,2018-11-24,Toluca,1
3,2018-11-24,Mexicali,1
3,2018-11-25,Chihuahua,1
3,2018-11-25,Irapuato,1
3,2018-11-25,Guanajuato,2
3,2018-11-25,Salamanca,1
3,2018-11-26,Queretaro,1
3,2018-11-26,Leon,1
3,2018-11-26,San Juan del Rio,1
3,2018-11-26,Tlaxcala,1
3,2018-11-26,Toluca,1
3,2018-11-26,Mexicali,1
4,2018-11-23,Guadalajara,1
4,2018-11-24,Mexicali,2
4,2018-11-25,Cordoba,1
4,2018-11-25,Orizaba,1
4,2018-11-26,Cuautla,1
4,2018-11-26,Cuernavaca,1
